sample_id,target_object,region,comparison,high_text,comparison_text,high_answer_class,comparison_answer_class,high_hallucinated,comparison_hallucinated,paired_advantage
sample_000062,bottle,all,low,"No, there is no bottle in the image. The image features a man and a woman standing next to each other.","No, there is no bottle in the image. The image features two men standing next to each other, with one of them holding a pair of scissors.",no,no,0,0,0
sample_000068,car,all,low,"Yes, there is a car in the image.","Yes, there is a car in the image, and it is driving down the street.",yes,yes,1,1,0
sample_000069,bus,all,low,"Yes, there is a bus in the image.","Yes, there is a bus in the image. It is a large bus parked in a parking lot.",yes,yes,1,1,0
sample_000073,cat,all,low,"No, there is no cat in the image. The image features a close-up of a bunch of white balls.","No, there is no cat in the image. The image features a close-up of a bunch of white balls, possibly marshmallows, on a dark background.",no,no,0,0,0
sample_000077,cat,all,low,"Yes, there is a cat in the image.","Yes, there is a cat in the image.",yes,yes,1,1,0
sample_000079,cat,all,low,"Yes, there is a cat in the image, sitting in front of a television.","Yes, there is a cat in the image, sitting in front of a television.",yes,yes,1,1,0
sample_000080,cat,all,low,"Yes, there is a cat in the image, and it is laying on a bed.","Yes, there is a cat in the image, and it is laying on a bed.",yes,yes,1,1,0
sample_000081,cat,all,low,"Yes, there is a cat in the image, and it is sitting on a table.","Yes, there is a cat in the image.",yes,yes,1,1,0
sample_000084,cat,all,low,"Yes, there is a cat in the image, and it is sitting on a wooden table.","Yes, there is a cat in the image, and it is sitting on a table.",yes,yes,1,1,0
sample_000085,dog,all,low,"Yes, there is a dog in the image, and it is sitting in front of a television.","Yes, there is a dog in the image, sitting in front of a television.",yes,yes,1,1,0
sample_000086,bus,all,low,"Yes, there is a bus in the image, and it is parked on the side of the road.","Yes, there is a bus in the image, and it is parked on the side of the road.",yes,yes,1,1,0
sample_000088,cat,all,low,"Yes, there is a cat in the image, and it is sitting on a table.","Yes, there is a cat in the image.",yes,yes,1,1,0
sample_000090,chair,all,low,"Yes, there is a chair in the image.","Yes, there is a chair in the image.",yes,yes,1,1,0
sample_000092,bus,all,low,"No, there is no bus in the image. The image features a car driving down a dark street.","No, there is no bus in the image. The image features a car driving down a dark street.",no,no,0,0,0
