sample_id,target_object,prompt,condition,baseline_text,masked_text,baseline_answer_class,masked_answer_class,baseline_correct,masked_correct,accuracy_change
sample_000062,bottle,Is there a bottle in the image?,all,"Yes, there is a bottle in the image, and it is located next to the man who is cutting the other man's hair.","No, there is no bottle in the image. The image features a man and a woman standing close to each other, with a brick wall in the background.",yes,no,1,0,-1
sample_000068,car,Is there a car in the image?,all,"Yes, there is a car in the image, and it is driving down the street.","Yes, there is a car in the image.",yes,yes,1,1,0
sample_000069,bus,Is there a bus in the image?,all,"Yes, there is a bus in the image. It is a large bus parked in a parking lot.",Yes,yes,yes,1,1,0
sample_000073,cat,Is there a cat in the image?,all,"No, there is no cat in the image. The image features a close-up of a red background with a blurry, textured appearance.","No, there is no cat in the image. The image features a close-up of a red background with a blurry, out-of-focus picture of a cat in the background.",no,no,0,0,0
sample_000077,cat,Is there a cat in the image?,all,"Yes, there is a cat in the image.","Yes, there is a cat in the image.",yes,yes,1,1,0
sample_000079,cat,Is there a cat in the image?,all,"Yes, there is a cat in the image, sitting in front of a television.","Yes, there is a cat in the image, sitting in front of a television.",yes,yes,1,1,0
sample_000080,cat,Is there a cat in the image?,all,"Yes, there is a cat in the image.","Yes, there is a cat in the image.",yes,yes,1,1,0
sample_000081,cat,Is there a cat in the image?,all,"Yes, there is a cat in the image.","Yes, there is a cat in the image.",yes,yes,1,1,0
sample_000084,cat,Is there a cat in the image?,all,"Yes, there is a cat in the image.","Yes, there is a cat in the image.",yes,yes,1,1,0
sample_000085,dog,Is there a dog in the image?,all,"Yes, there is a dog in the image.","Yes, there is a dog in the image, sitting in front of a television.",yes,yes,1,1,0
sample_000086,bus,Is there a bus in the image?,all,"Yes, there is a bus in the image, and it is driving down the street.","Yes, there is a bus in the image, and it is parked on the side of the road.",yes,yes,1,1,0
sample_000088,cat,Is there a cat in the image?,all,"Yes, there is a cat in the image.","Yes, there is a cat in the image.",yes,yes,1,1,0
sample_000090,chair,Is there a chair in the image?,all,"Yes, there is a chair in the image.","Yes, there is a chair in the image.",yes,yes,1,1,0
sample_000092,bus,Is there a bus in the image?,all,"Yes, there is a bus in the image.","Yes, there is a bus in the image.",yes,yes,1,1,0
sample_000093,dog,Is there a dog in the image?,all,"Yes, there is a dog in the image.","Yes, there is a dog in the image.",yes,yes,1,1,0
sample_000094,dog,Is there a dog in the image?,all,"Yes, there is a dog in the image.","Yes, there is a dog in the image.",yes,yes,1,1,0
sample_000095,bus,Is there a bus in the image?,all,"Yes, there is a bus in the image. It is a yellow school bus.","Yes, there is a bus in the image.",yes,yes,1,1,0
sample_000096,bench,Is there a bench in the image?,all,"Yes, there is a bench in the image.","Yes, there is a bench in the image.",yes,yes,1,1,0
sample_000097,bus,Is there a bus in the image?,all,"Yes, there is a bus in the image. It is a green bus parked in a grassy area.","Yes, there is a bus in the image.",yes,yes,1,1,0
sample_000098,car,Is there a car in the image?,all,"Yes, there is a car in the image, and it is driving down a street.","Yes, there is a car in the image, and it is driving down a street.",yes,yes,1,1,0
sample_000099,car,Is there a car in the image?,all,"Yes, there is a car in the image, and it is parked in a parking lot.","Yes, there is a car in the image.",yes,yes,1,1,0
sample_000100,bench,Is there a bench in the image?,all,"Yes, there is a bench in the image.","Yes, there is a bench in the image.",yes,yes,1,1,0
sample_000101,car,Is there a car in the image?,all,"Yes, there is a car in the image, and it is parked on the side of the road.","Yes, there is a car in the image, and it is parked on the side of the road.",yes,yes,1,1,0
sample_000102,bus,Is there a bus in the image?,all,"Yes, there is a bus in the image, and it is driving down a city street.","Yes, there is a bus in the image.",yes,yes,1,1,0
sample_000103,car,Is there a car in the image?,all,"Yes, there is a car in the image, and it is parked next to a building.","Yes, there is a car in the image, and it is parked on the street.",yes,yes,1,1,0
sample_000104,dog,Is there a dog in the image?,all,"Yes, there is a dog in the image.","Yes, there is a dog in the image.",yes,yes,1,1,0
sample_000105,bicycle,Is there a bicycle in the image?,all,"Yes, there is a bicycle in the image, and a man is riding it.","Yes, there is a bicycle in the image, and it is being ridden by a person.",yes,yes,1,1,0
sample_000106,cat,Is there a cat in the image?,all,"Yes, there is a cat in the image.","Yes, there is a cat in the image.",yes,yes,1,1,0
sample_000107,bus,Is there a bus in the image?,all,"Yes, there is a bus in the image. It is a red bus parked at a bus stop.","Yes, there is a bus in the image, and it is parked at a bus stop.",yes,yes,1,1,0
sample_000108,cat,Is there a cat in the image?,all,"Yes, there is a cat in the image.","Yes, there is a cat in the image.",yes,yes,1,1,0
sample_000109,cat,Is there a cat in the image?,all,"No, there is no cat in the image. The image features a person's hand and a blanket.","No, there is no cat in the image. The image features a person's hand and a cat's paw.",no,no,0,0,0
sample_000110,dog,Is there a dog in the image?,all,"Yes, there is a dog in the image.","Yes, there is a dog in the image.",yes,yes,1,1,0
sample_000111,bus,Is there a bus in the image?,all,"Yes, there is a bus in the image. It is a yellow school bus.","Yes, there is a bus in the image.",yes,yes,1,1,0
sample_000112,cat,Is there a cat in the image?,all,"Yes, there is a cat in the image.","Yes, there is a cat in the image.",yes,yes,1,1,0
sample_000113,bottle,Is there a bottle in the image?,all,"Yes, there is a bottle in the image, and it is placed on the table next to the cake.","Yes, there is a bottle in the image, and it is placed on a table.",yes,yes,1,1,0
