sample_id,target_object,prompt,uncertainty_condition,random_condition,uncertainty_text,random_text,uncertainty_answer_class,random_answer_class,uncertainty_hallucinated,random_hallucinated,paired_advantage
sample_000062,bottle,Is there a bottle in the image?,all,random_all,"No, there is no bottle in the image. The image features a man and a woman standing next to each other.","No, there is no bottle in the image. The image features a man and a woman standing next to each other.",no,no,0,0,0
sample_000068,car,Is there a car in the image?,all,random_all,"Yes, there is a car in the image.","Yes, there is a car in the image, and it is driving down the street.",yes,yes,1,1,0
sample_000069,bus,Is there a bus in the image?,all,random_all,"Yes, there is a bus in the image.","Yes, there is a bus in the image, and it is driving down the street.",yes,yes,1,1,0
sample_000073,cat,Is there a cat in the image?,all,random_all,"No, there is no cat in the image. The image features a close-up of a bunch of white balls.","No, there is no cat in the image. The image features a close-up of a blurry picture of a white object, possibly a piece of paper or a white surface.",no,no,0,0,0
sample_000077,cat,Is there a cat in the image?,all,random_all,"Yes, there is a cat in the image.","Yes, there is a cat in the image.",yes,yes,1,1,0
sample_000079,cat,Is there a cat in the image?,all,random_all,"Yes, there is a cat in the image, sitting in front of a television.","Yes, there is a cat in the image, sitting on a chair in front of a television.",yes,yes,1,1,0
sample_000080,cat,Is there a cat in the image?,all,random_all,"Yes, there is a cat in the image, and it is laying on a bed.","Yes, there is a cat in the image, and it is laying on a bed.",yes,yes,1,1,0
sample_000081,cat,Is there a cat in the image?,all,random_all,"Yes, there is a cat in the image, and it is sitting on a table.","Yes, there is a cat in the image, and it is sitting on a table.",yes,yes,1,1,0
sample_000084,cat,Is there a cat in the image?,all,random_all,"Yes, there is a cat in the image, and it is sitting on a wooden table.","Yes, there is a cat in the image, and it is sitting on a table.",yes,yes,1,1,0
sample_000085,dog,Is there a dog in the image?,all,random_all,"Yes, there is a dog in the image, and it is sitting in front of a television.","Yes, there is a dog in the image, and it is sitting in front of the television.",yes,yes,1,1,0
sample_000086,bus,Is there a bus in the image?,all,random_all,"Yes, there is a bus in the image, and it is parked on the side of the road.","Yes, there is a bus in the image, and it is parked on the side of the road.",yes,yes,1,1,0
sample_000088,cat,Is there a cat in the image?,all,random_all,"Yes, there is a cat in the image, and it is sitting on a table.","Yes, there is a cat in the image, and it is sitting on a table.",yes,yes,1,1,0
sample_000090,chair,Is there a chair in the image?,all,random_all,"Yes, there is a chair in the image.","Yes, there is a chair in the image.",yes,yes,1,1,0
sample_000092,bus,Is there a bus in the image?,all,random_all,"No, there is no bus in the image. The image features a car driving down a dark street.","No, there is no bus in the image. The image features a car driving down a dark street.",no,no,0,0,0
sample_000093,dog,Is there a dog in the image?,all,random_all,"Yes, there is a dog in the image, and it is looking out of the car window.","Yes, there is a dog in the image, and it is sitting in the back of a car.",yes,yes,1,1,0
